ArtID,TpcID
83EGGPUZ,Tpc3
VPFR7P5H,Tpc59
I6KFKVZJ,Tpc40
QVXDVSRM,Tpc3
S5386EHW,Tpc40
MIVGZNPD,Tpc3
UHDAQ4TM,Tpc70
C6FS7DRA,Tpc71
FPEMH4WZ,Tpc75
JXH24K83,Tpc78
7UUX3TU6,Tpc79
V3FD9C6N,Tpc80
CEVZDCVS,Tpc62
M5DAIX66,Tpc40
TG6I9JKN,Tpc71
NW84NRHJ,Tpc40
GQFX454U,Tpc40
656GRD42,Tpc28
STKZ9PR5,Tpc28
IS9PH3IH,Tpc23
6QMG5C2F,Tpc87
X4IWKIQ5,Tpc89
G2C2JFA8,Tpc40
82UN7UMN,Tpc90
QH7A387M,Tpc3
EMN35GIC,Tpc93
2K3MD49Z,Tpc84
2QUC36D3,Tpc76
K6MTIUT4,Tpc76
HEHREDTU,Tpc76
QUXSWEHT,Tpc99
I9HQK33H,Tpc28
RAXERTP5,Tpc4
UKE7BI6A,Tpc107
29QZS6C5,Tpc84
J73Q2JNP,Tpc84
5QX72EUI,Tpc25
897CCZ29,Tpc15
DFVI4VRE,Tpc3
JNG9S3DR,Tpc6
ZZAICG72,Tpc121
6NV9663K,Tpc11
8XCEQ7CE,Tpc123
ZP7H37GX,Tpc123
E356BQUC,Tpc123
GNNSXSM2,Tpc30
Q42VZWHK,Tpc76
6DNWMME7,Tpc132
FBHW3D68,Tpc15
3BT28NEW,Tpc30
HWPI3CNT,Tpc30
BEC4DUUK,Tpc11
PEDJ7JRM,Tpc11
3SC3KRI8,Tpc12
86AUXWSC,Tpc58
UVZ2G8BR,Tpc7
HFZ4U584,Tpc7
WD7KG637,Tpc21
EGJWSHJQ,Tpc21
3TRF5PHJ,Tpc12
26HI6F5X,Tpc4
SXWCCP35,Tpc28
INM44PCR,Tpc28
QKIUBM6R,Tpc3
9TJRKBP3,Tpc15
G47MHPCA,Tpc42
ZDXPKKB4,Tpc23
ZWCTW2DK,Tpc48
RA7E7IEW,Tpc52
2KE6MTA2,Tpc53
PU5Z6PEX,Tpc54
URCK287K,Tpc3
VKKXWB2W,Tpc3
KHH4KSFE,Tpc65
AF2IQBZI,Tpc21
I2KZWCE7,Tpc68
I6KFKVZJ,Tpc72
DEZTGVWE,Tpc73
NWIX65H7,Tpc78
VPFR7P5H,Tpc82
N7VRTK35,Tpc83
TG6I9JKN,Tpc71
C6FS7DRA,Tpc71
M5DAIX66,Tpc40
83EGGPUZ,Tpc40
NW84NRHJ,Tpc40
FAGVRXD3,Tpc88
FPEMH4WZ,Tpc89
X4IWKIQ5,Tpc40
4QHEUD3F,Tpc30
GQFX454U,Tpc20
6QMG5C2F,Tpc91
656GRD42,Tpc25
2QUC36D3,Tpc76
MIVGZNPD,Tpc20
2K3MD49Z,Tpc102
S5386EHW,Tpc105
QH7A387M,Tpc3
I9HQK33H,Tpc107
7UUX3TU6,Tpc84
IS9PH3IH,Tpc84
QUXSWEHT,Tpc84
JXH24K83,Tpc84
CEVZDCVS,Tpc25
WV9EX8W8,Tpc112
QVXDVSRM,Tpc113
STKZ9PR5,Tpc114
XSXWCW7Q,Tpc11
82UN7UMN,Tpc84
HEHREDTU,Tpc116
SZQPMEQ9,Tpc118
J73Q2JNP,Tpc15
UHDAQ4TM,Tpc119
QPSU7X6K,Tpc30
5QX72EUI,Tpc43
8XCEQ7CE,Tpc133
VAR9CIEZ,Tpc133
Q42VZWHK,Tpc133
897CCZ29,Tpc100
FBHW3D68,Tpc30
ZP7H37GX,Tpc30
3BT28NEW,Tpc30
ZZAICG72,Tpc11
6NV9663K,Tpc15
E356BQUC,Tpc140
GNNSXSM2,Tpc30
UKE7BI6A,Tpc12
86AUXWSC,Tpc58
HFZ4U584,Tpc3
EGJWSHJQ,Tpc21
UVZ2G8BR,Tpc15
INM44PCR,Tpc6
9TJRKBP3,Tpc44
3TRF5PHJ,Tpc51
26HI6F5X,Tpc3
QKIUBM6R,Tpc40
WD7KG637,Tpc64
RA7E7IEW,Tpc66
G47MHPCA,Tpc68
I2KZWCE7,Tpc79
PU5Z6PEX,Tpc3
VPFR7P5H,Tpc83
TG6I9JKN,Tpc71
I6KFKVZJ,Tpc21
NWIX65H7,Tpc85
DEZTGVWE,Tpc40
